TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dateTime:RFC3339,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
Datum / Uhrzeit,MeteoViva_Schalter - MeteoViva Aktiv (Messung),MeteoViva_Schalter - MeteoViva Mischbetrieb (Messung),MeteoViva_Schalter - MeteoViva Inaktiv (Messung),Klimasensor - Mittlere_Zonentemperatur (Messung),Klima - Mittlere_Zonentemperatur (Optimierung),Klima - Klimaprofil obere Grenze (Klimaprofil),Klima - Klimaprofil obere Grenze (Klimaprofil)_1,Klima - Klimaprofil untere Grenze (Klimaprofil),Klimasensor - Raumtemperatur_LT1_Ablufttemperatur (Messung),Lueftungsanlage_LT_1 - Ablufttemperatur (Messung),Lueftungsanlage_LT_1 - Ablufttemperatur (Optimierung),Lueftungsanlage_LT_1 - Volumenstrom (Steuerung),Lueftungsanlage_LT_1 - Zulufttemperatur (Messung),Lueftungsanlage_LT_1 - Zulufttemperatur (Optimierung),Lueftungsanlage_LT_1 - Zulufttemperatur (Steuerung)
01-01-2022 00:00,1,0,0,151,152,28,40,175,151,151,152,0,228,24,24
01-01-2022 00:15,1,0,0,151,151,28,40,175,151,151,152,0,228,24,24
01-01-2022 00:30,1,0,0,154,151,28,40,175,154,154,151,0,228,24,24
01-01-2022 00:45,1,0,0,155,151,28,40,175,155,155,151,0,228,24,24
01-01-2022 01:00,1,0,0,154,151,28,40,175,154,154,151,0,228,24,24
01-01-2022 01:15,1,0,0,154,151,28,40,175,154,154,151,0,228,24,24
01-01-2022 01:30,1,0,0,153,151,28,40,175,153,153,151,0,228,24,24
01-01-2022 01:45,1,0,0,153,151,28,40,175,153,153,151,0,228,24,24
01-01-2022 02:00,1,0,0,152,151,28,40,175,152,152,151,0,228,24,24
01-01-2022 02:15,1,0,0,154,151,28,40,175,154,154,151,0,228,24,24
01-01-2022 02:30,1,0,0,153,151,28,40,175,153,153,151,0,228,24,24
01-01-2022 02:45,1,0,0,153,151,28,40,175,153,153,151,0,228,24,24
01-01-2022 03:00,1,0,0,152,15,28,40,175,152,152,151,0,228,24,24
01-01-2022 03:15,1,0,0,152,15,28,40,175,152,152,15,0,228,24,24
