"Date,Time,Msecs,RLT11 Kühler-Ventil Istwert,RLT11 Kühler-Ventil Sollwert,RLT11 Abluftdruck,RLT11 Ablufttemperaturfühler,RLT11 AB-Ventilator FU Istwert,RLT11 Aussentemperaturfühler,RLT11 Fortlufttemperaturfühler,RLT11 Vorerhitzer-Ventil Istwert,RLT11 Vorerhitzer-Ventil Sollwert,RLT11 VE Rücklauftemperaturfühler,Sollwert VE Rücklauftemperaturfühler,RLT11 WRG-Klappe,RLT11 Zuluftdruck,RLT11 Zulufttemperaturfühler,Sollwert Zulufttemperaturfühler,RLT11 ZU-Ventilator FU Istwert"
"01.03.2021,15:01:37,261, , ,2.43, ,0.11, , ,0.77,0.00,26.46,50.00, ,3.13, , ,0.06"
"01.03.2021,15:03:37,224, , , , , ,15.89, , , ,27.73, , , , , , "
"01.03.2021,15:05:37,222, , , , , ,16.36, , , ,27.52, , , , , , "
"01.03.2021,15:07:37,265, , , , , ,16.79, , , ,27.28, , , , ,23.92, "
"01.03.2021,15:09:37,227, , , , , ,17.30, , , , , , , ,23.60, , "
"01.03.2021,15:11:37,186, , , , , ,17.56, , , ,27.02, , , , , , "
"01.03.2021,15:13:37,234, , , ,23.28, ,17.82, , , , , , , , , , "
"01.03.2021,15:15:37,240, , , , , ,18.20, , , ,26.77, , , , , , "
"01.03.2021,15:17:37,286, , , , , , , , , , , , , ,23.35, , "
"01.03.2021,15:21:37,202, , , ,23.03, , , , , ,26.50, , , , , , "
"01.03.2021,15:23:37,181, , , , , , ,20.60, , , , , , , , , "
"01.03.2021,15:25:37,201, , , , , ,17.94, , , , , , , ,23.09, , "
"01.03.2021,15:27:37,262, , , , , , , , , ,26.25, , , , , , "
"01.03.2021,15:31:37,268, , , ,22.77, , , , , , , , , , , , "
"01.03.2021,15:33:37,243, , , , , , , , , , , , , ,22.83, , "
"01.03.2021,15:35:37,197, , , , , , ,20.40, , ,25.99, , , , , , "
"01.03.2021,15:43:37,245, , , , , , , , , ,25.73, , , ,22.58, , "
"01.03.2021,15:47:37,207, , , ,22.57, , , , , , , , , , , , "
"01.03.2021,15:51:37,185, , , , , , , , , ,25.47, , , , , , "
"01.03.2021,15:53:37,186, , , , , ,18.20,20.19, , , , , , ,22.32, , "
"01.03.2021,15:59:37,237, , , , , , , , , ,25.22, , , , , , "
"01.03.2021,16:03:37,194, , , ,22.32, , , , , , , , , ,22.06, , "
"01.03.2021,16:07:37,257, , , , , , , , , ,24.97, , , , , , "
"01.03.2021,16:15:37,207, , , , , ,17.94, , , ,24.76, , , , , , "
"01.03.2021,16:17:37,213, , , , , , ,19.94, , , , , , ,21.80, , "
"01.03.2021,16:19:37,213, , , , , ,17.36, , , , , , , , , , "
"01.03.2021,16:23:37,199, , , ,22.06, , , , , ,24.54, , , , , , "
"01.03.2021,16:31:37,251, , , , , , , , , ,24.31, , , , , , "
"01.03.2021,16:33:37,252, , , , , , , , , , , , , ,21.55, , "
"01.03.2021,16:41:37,208, , , , , , , , , ,24.10, , , , , , "
"01.03.2021,16:43:37,185, , , , , ,17.15, , , , , , , , , , "
"01.03.2021,16:45:37,218, , , , , , ,19.68, , , , , , , , , "
"01.03.2021,16:47:37,221, , , , , ,16.92, , , , , , , , , , "
"01.03.2021,16:49:37,215, , , ,21.84, , , , , , , , , , , , "
"01.03.2021,16:51:37,237, , , , , , , , , ,23.86, , , ,21.29, , "
"01.03.2021,16:53:37,218, , , , , ,16.68, , , , , , , , , , "
"01.03.2021,17:03:37,270, , , , , ,16.47, , , ,23.60, , , , , , "
"01.03.2021,17:13:37,208, , , , , ,16.21, , , , , , , , , , "
"01.03.2021,17:15:37,183, , , , , , , , , ,23.35, , , , , , "
"01.03.2021,17:17:37,254, , , , , , ,19.42, , , , , , , , , "
"01.03.2021,17:19:37,183, , , , , , , , , , , , , ,21.08, , "
"01.03.2021,17:25:37,193, , , ,21.61, ,15.95, , , , , , , , , , "
"01.03.2021,17:27:37,193, , , , , , , , , ,23.09, , , , , , "
